#1;
# Stochastic profiles for vehicle car location, created with the LoadProfileGenerator https://github.com/loadprofilegenerator/LoadProfileGenerator
# 0: driving, 1: home, 2: shopping, 3: event location, 4: school, 5: work
#ID	IN03_37_20	IN03_110_30	IN05_220_25	IN05_110_10	IN20_110_15	IN20_220_25	IN21_110_5	IN21_220_20
double default(35040,9);

0	1	1	1	1	1	1	1	1
900	1	1	1	1	1	1	1	1
1800	1	1	1	1	1	1	1	1
2700	1	1	1	1	1	1	1	1
3600	1	1	1	1	1	1	1	1
4500	1	1	1	1	1	1	1	1
5400	1	1	1	1	1	1	1	1
6300	1	1	1	1	1	1	1	1
7200	1	1	1	1	1	1	1	1
8100	1	1	1	1	1	1	1	1
9000	1	1	1	1	1	1	1	1
9900	1	1	1	1	1	1	1	1
10800	1	1	1	1	1	1	1	1
11700	1	1	1	1	1	1	1	1
12600	1	1	1	1	1	1	1	1
13500	1	1	1	1	1	1	1	1
14400	1	1	1	1	1	1	1	0
15300	1	1	1	1	1	1	0	0
16200	1	1	1	1	1	1	0	5
17100	1	1	1	1	1	1	5	5
18000	1	1	1	1	1	1	5	5
18900	1	1	1	1	1	1	5	5
19800	1	1	1	1	1	1	5	5
20700	1	1	1	1	1	1	5	5
21600	1	1	1	1	1	1	5	5
22500	1	1	1	1	1	1	5	5
23400	1	1	1	1	1	1	5	5
24300	1	1	1	1	1	1	5	5
25200	1	1	1	1	1	1	5	5
26100	1	1	1	1	1	1	5	5
27000	1	1	1	1	1	1	5	5
27900	1	1	1	1	1	1	5	5
28800	1	1	1	1	1	1	5	5
29700	1	1	1	1	1	1	5	5
30600	1	1	1	1	1	1	5	5
31500	1	1	1	1	1	1	5	5
32400	1	1	1	0	1	1	5	5
33300	1	1	1	0	1	1	5	5
34200	1	1	1	2	1	1	5	5
35100	1	1	1	2	1	1	5	5
36000	0	1	1	2	1	1	5	5
36900	0	1	1	2	1	1	5	5
37800	3	1	1	2	1	1	5	5
38700	3	1	1	2	1	1	5	5
39600	3	1	1	2	1	0	5	5
40500	3	1	1	2	0	2	5	5
41400	3	1	1	0	2	2	5	5
42300	3	1	1	1	2	2	5	5
43200	3	1	1	1	2	2	5	5
44100	3	1	1	1	2	2	5	5
45000	3	1	1	1	2	2	5	5
45900	0	1	1	1	2	2	5	5
46800	0	1	1	1	2	0	5	5
47700	1	1	1	1	2	0	5	0
48600	1	1	1	1	2	1	0	0
49500	1	1	1	1	0	0	1	1
50400	1	1	1	1	0	3	1	1
51300	1	1	1	1	1	3	1	1
52200	1	1	1	1	1	3	1	1
53100	1	1	1	1	1	3	1	1
54000	1	1	1	1	1	3	1	1
54900	1	1	1	1	1	3	0	1
55800	1	1	1	1	1	3	2	1
56700	1	1	1	1	1	3	2	1
57600	1	1	1	0	1	3	2	1
58500	1	1	0	0	0	3	2	1
59400	1	1	3	0	2	3	2	1
60300	1	1	3	0	2	3	2	1
61200	1	0	3	3	2	3	2	1
62100	1	0	3	3	2	0	0	1
63000	1	0	3	3	2	0	1	1
63900	1	0	3	3	2	1	1	1
64800	1	3	3	3	2	1	1	1
65700	1	3	3	3	2	1	1	1
66600	1	3	0	3	0	1	1	1
67500	1	3	0	3	0	1	1	1
68400	1	3	0	3	1	1	1	1
69300	1	3	3	3	1	1	1	1
70200	1	3	3	3	1	1	1	1
71100	0	3	3	3	1	1	1	1
72000	0	3	3	3	1	1	1	1
72900	3	3	3	3	1	1	1	1
73800	3	3	3	3	1	1	1	1
74700	3	3	3	3	1	1	1	1
75600	3	3	3	0	1	1	1	1
76500	3	3	3	0	1	1	1	1
77400	3	3	0	0	1	1	1	1
78300	3	0	1	0	1	1	1	1
79200	3	0	1	1	1	1	1	1
80100	3	0	1	1	1	1	1	1
81000	0	0	1	1	1	1	1	1
81900	1	1	1	1	1	1	1	1
82800	1	1	1	1	1	1	1	1
83700	1	1	1	1	1	1	1	1
84600	1	1	1	1	1	1	1	1
85500	1	1	1	1	1	1	1	1
86400	1	1	1	1	1	1	1	1
87300	1	1	1	1	1	1	1	1
88200	1	1	1	1	1	1	1	1
89100	1	1	1	1	1	1	1	1
90000	1	1	1	1	1	1	1	1
90900	1	1	1	1	1	1	1	1
91800	1	1	1	1	1	1	1	1
92700	1	1	1	1	1	1	1	1
93600	1	1	1	1	1	1	1	1
94500	1	1	1	1	1	1	1	1
95400	1	1	1	1	1	1	1	1
96300	1	1	1	1	1	1	1	1
97200	1	1	1	1	1	1	1	1
98100	1	1	1	1	1	1	1	1
99000	1	1	1	1	1	1	1	1
99900	1	1	1	1	1	1	1	1
100800	1	1	1	1	1	1	1	1
101700	1	1	1	1	1	1	0	0
102600	1	1	1	1	1	1	0	0
103500	1	1	1	1	1	1	5	5
104400	1	1	1	1	1	1	5	5
105300	1	0	1	1	1	1	5	5
106200	1	0	0	1	1	1	5	5
107100	1	0	0	1	1	1	5	5
108000	1	5	0	1	1	1	5	5
108900	1	5	5	1	1	1	5	5
109800	1	5	5	1	1	1	5	5
110700	1	5	5	1	1	0	5	5
111600	1	5	5	1	1	4	5	5
112500	1	5	5	0	1	4	5	5
113400	1	5	5	0	1	4	5	5
114300	0	5	5	5	1	4	5	5
115200	2	5	5	5	1	4	5	5
116100	2	5	5	5	1	4	5	5
117000	2	5	5	5	1	4	5	5
117900	2	5	5	5	1	4	5	5
118800	2	5	5	5	1	4	5	5
119700	2	5	5	5	1	4	5	5
120600	2	5	5	5	1	4	5	5
121500	2	5	5	5	1	4	5	5
122400	2	5	5	5	1	4	5	5
123300	0	5	5	5	1	4	5	5
124200	0	5	5	5	1	4	5	5
125100	0	5	5	5	1	4	5	5
126000	5	5	5	5	1	4	5	5
126900	5	5	5	5	1	4	5	5
127800	5	5	5	5	1	4	5	5
128700	5	5	5	5	1	4	5	5
129600	5	5	5	5	1	4	5	5
130500	5	5	5	5	1	4	5	5
131400	5	5	5	5	1	4	5	5
132300	5	5	5	5	1	4	5	5
133200	5	5	5	5	1	0	5	5
134100	5	0	5	5	1	1	5	5
135000	5	0	5	5	1	1	5	0
135900	5	0	5	5	1	1	0	0
136800	5	1	5	5	1	1	1	0
137700	5	0	5	5	1	1	1	1
138600	5	0	5	5	1	1	1	1
139500	5	2	5	5	1	1	1	0
140400	5	2	5	0	0	1	1	2
141300	5	2	5	0	0	1	1	2
142200	5	2	5	1	0	1	1	2
143100	5	2	5	1	0	1	1	2
144000	5	2	5	1	3	1	1	2
144900	5	0	0	1	3	1	0	2
145800	5	1	0	1	3	0	3	2
146700	5	1	1	1	3	0	3	2
147600	5	1	1	1	3	2	3	2
148500	5	1	1	1	3	2	3	0
149400	5	1	1	1	3	2	3	1
150300	5	1	1	1	3	2	3	1
151200	5	1	1	1	3	2	3	1
152100	0	1	1	1	3	2	3	1
153000	0	1	0	1	3	2	3	1
153900	1	1	2	1	3	2	3	1
154800	1	1	2	1	3	0	0	1
155700	1	1	2	1	3	1	0	1
156600	1	1	2	1	3	1	1	1
157500	1	1	2	1	0	1	1	1
158400	1	1	2	1	0	1	1	1
159300	1	1	2	1	0	1	1	1
160200	1	1	2	1	0	1	1	1
161100	1	1	0	1	1	1	1	1
162000	1	1	1	1	1	1	1	1
162900	1	1	1	1	1	1	1	1
163800	1	1	1	1	1	1	1	1
164700	1	1	1	1	1	1	1	1
165600	1	1	1	1	1	1	1	1
166500	1	1	1	1	1	1	1	1
167400	1	1	1	1	1	1	1	1
168300	1	1	1	1	1	1	1	1
169200	1	1	1	1	1	1	1	1
170100	1	1	1	1	1	1	1	1
171000	1	1	1	1	1	1	1	1
171900	1	1	1	1	1	1	1	1
172800	1	1	1	1	1	1	1	1
173700	1	1	1	1	1	1	1	1
174600	1	1	1	1	1	1	1	1
175500	1	1	1	1	1	1	1	1
176400	1	1	1	1	1	1	1	1
177300	1	1	1	1	1	1	1	1
178200	1	1	1	1	1	1	1	1
179100	1	1	1	1	1	1	1	1
180000	1	1	1	1	1	1	1	1
180900	1	1	1	1	1	1	1	1
181800	1	1	1	1	1	1	1	1
182700	1	1	1	1	1	1	1	1
183600	1	1	1	1	1	1	1	1
184500	1	1	1	1	1	1	1	1
185400	1	1	1	1	1	1	1	1
186300	1	1	1	1	1	1	1	1
187200	1	1	1	1	1	1	1	1
188100	1	1	1	1	1	1	1	1
189000	1	1	1	1	1	1	1	1
189900	1	0	1	1	1	1	1	1
190800	1	0	1	1	1	1	1	0
191700	1	0	1	1	1	1	1	0
192600	1	5	1	1	1	1	1	5
193500	1	5	1	1	0	0	1	5
194400	1	5	1	1	4	0	1	5
195300	1	5	0	1	4	0	0	5
196200	1	5	0	1	4	5	5	5
197100	1	5	5	0	4	5	5	5
198000	1	5	5	4	4	5	5	5
198900	1	5	5	4	4	5	5	5
199800	1	5	5	4	4	5	5	5
200700	1	5	5	4	4	5	5	5
201600	1	5	5	4	4	5	5	5
202500	1	5	5	4	4	5	5	5
203400	1	5	5	4	4	5	5	5
204300	0	5	5	4	4	5	5	5
205200	0	5	5	4	4	5	5	5
206100	5	5	5	4	4	5	5	5
207000	5	5	5	4	4	5	5	5
207900	5	5	5	4	4	5	5	5
208800	5	5	5	4	4	5	5	5
209700	5	5	5	4	4	5	5	5
210600	5	0	5	4	4	5	5	5
211500	5	0	5	4	4	5	5	5
212400	5	0	5	4	4	5	5	5
213300	5	1	5	4	4	5	5	5
214200	5	1	5	4	4	5	5	5
215100	5	1	5	4	4	5	5	5
216000	5	1	5	4	4	5	5	5
216900	5	1	5	4	0	5	5	5
217800	5	1	5	4	1	0	5	5
218700	5	1	5	4	1	0	5	5
219600	5	1	5	0	1	0	5	5
220500	5	1	5	1	1	1	5	5
221400	5	1	5	1	1	1	5	5
222300	5	1	5	1	1	1	5	5
223200	5	1	5	1	1	1	5	5
224100	5	1	5	0	1	1	5	5
225000	5	1	5	0	1	1	5	0
225900	5	1	5	2	1	1	5	0
226800	5	1	5	2	1	1	5	1
227700	5	1	0	2	1	1	5	1
228600	5	1	0	2	1	0	0	1
229500	5	1	1	2	1	0	1	1
230400	0	1	1	2	1	0	1	1
231300	0	1	1	0	1	0	1	1
232200	0	1	0	0	1	3	1	1
233100	1	1	0	1	1	3	1	0
234000	0	1	3	1	1	3	1	0
234900	0	1	3	1	1	3	1	0
235800	3	1	3	1	1	3	1	0
236700	3	1	3	1	1	3	1	3
237600	3	1	3	1	1	3	1	3
238500	3	1	3	1	1	3	1	3
239400	3	0	3	1	1	3	1	3
240300	3	0	3	1	1	3	1	3
241200	3	3	0	1	1	3	1	3
242100	3	3	1	1	1	3	1	3
243000	0	3	1	1	1	3	1	3
243900	0	3	1	1	1	3	1	3
244800	1	3	1	1	1	3	1	3
245700	1	3	1	1	1	3	1	3
246600	1	3	1	1	1	3	1	3
247500	1	3	1	1	1	0	1	3
248400	1	3	1	1	1	0	1	3
249300	1	3	1	1	1	0	1	3
250200	1	3	1	1	1	0	1	3
251100	1	3	1	1	1	1	1	0
252000	1	3	1	1	1	1	1	0
252900	1	3	1	1	1	1	1	0
253800	1	3	1	1	1	1	1	0
254700	1	3	1	1	1	1	1	1
255600	1	3	1	1	1	1	1	1
256500	1	3	1	1	1	1	1	1
257400	1	0	1	1	1	1	1	1
258300	1	1	1	1	1	1	1	1
259200	1	1	1	1	1	1	1	1
260100	1	1	1	1	1	1	1	1
261000	1	1	1	1	1	1	1	1
261900	1	1	1	1	1	1	1	1
262800	1	1	1	1	1	1	1	1
263700	1	1	1	1	1	1	1	1
264600	1	1	1	1	1	1	1	1
265500	1	1	1	1	1	1	1	1
266400	1	1	1	1	1	1	1	1
267300	1	1	1	1	1	1	1	1
268200	1	1	1	1	1	1	1	1
269100	1	1	1	1	1	1	1	1
270000	1	1	1	1	1	1	1	1
270900	1	1	1	1	1	1	1	1
271800	1	1	1	1	1	1	1	1
272700	1	1	1	1	1	1	1	1
273600	1	1	1	1	1	1	1	1
274500	1	1	1	1	1	1	0	1
275400	1	1	1	1	1	1	0	1
276300	1	0	1	1	1	1	5	0
277200	1	0	1	1	1	1	5	0
278100	1	0	0	1	1	1	5	5
279000	1	5	0	1	1	1	5	5
279900	1	5	0	1	1	0	5	5
280800	1	5	5	1	1	0	5	5
281700	1	5	5	1	1	0	5	5
282600	1	5	5	1	1	5	5	5
